Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Nacer Chadli,Midfielder,27,Spurs,Premier League,West Brom,Premier League,16-17,13000000,15200000
Oliver Burke,Midfielder,19,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,16-17,250000,15200000
Robbie Brady,Midfielder,25,Norwich,Championship,Burnley,Premier League,16-17,8000000,15100000
Luka Milivojevic,Midfielder,25,Olympiacos,Super League,Crystal Palace,Premier League,16-17,8000000,15100000
Mohamed Salah,Midfielder,24,Chelsea,Premier League,AS Roma,Serie A,16-17,20000000,15000000
Christoph Kramer,Midfielder,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,16-17,12000000,15000000
Ousmane Dembélé,Midfielder,19,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,16-17,12000000,15000000
Jonatan Soriano,Forward,31,RB Salzburg,Bundesliga,BJ Sinobo Guoan,Super League,16-17,6000000,15000000
Pierre-Emile Höjbjerg,Midfielder,20,Bayern Munich ,1.Bundesliga,Southampton,Premier League,16-17,6000000,15000000
Djibril Sidibé,Defender,23,LOSC Lille,Ligue 1,Monaco,Ligue 1,16-17,4000000,15000000
Isaac Success,Midfielder,20,Granada CF,LaLiga,Watford,Premier League,16-17,3000000,15000000
Hélder Costa,Midfielder,23,Benfica,Liga NOS,Wolves,Championship,16-17,3000000,15000000
Rodolfo Pizarro,Midfielder,22,CF Pachuca,Liga MX Clausura,Chivas,Liga MX Clausura,16-17,5000000,14750000
Amadou Diawara,Midfielder,19,Bologna,Serie A,SSC Napoli,Serie A,16-17,11000000,14500000
Victor Wanyama,Midfielder,25,Southampton,Premier League,Spurs,Premier League,16-17,15000000,14400000
Ross McCormack,Forward,29,Fulham,Championship,Aston Villa,Championship,16-17,8000000,14300000
Lucas Pérez,Forward,27,Dep. La Coruña,LaLiga,Arsenal,Premier League,16-17,12000000,14000000
Piotr Zielinski,Midfielder,22,Udinese Calcio,Serie A,SSC Napoli,Serie A,16-17,12000000,14000000
Filip Kostic,Midfielder,23,VfB Stuttgart,2.Bundesliga,Hamburger SV,1.Bundesliga,16-17,10000000,14000000
Ashley Williams,Defender,31,Swansea,Premier League,Everton,Premier League,16-17,8000000,14000000
Timo Werner,Forward,20,VfB Stuttgart,2.Bundesliga,RB Leipzig,1.Bundesliga,16-17,8000000,14000000
Saido Berahino,Forward,23,West Brom,Premier League,Stoke City,Premier League,16-17,15000000,13900000
Jeffrey Schlupp,Defender,24,Leicester,Premier League,Crystal Palace,Premier League,16-17,8000000,13800000
Roberto Soriano,Midfielder,25,Sampdoria,Serie A,Villarreal CF,LaLiga,16-17,14000000,13750000
Leon Bailey,Midfielder,19,KRC Genk,Jupiler Pro League,Bay. Leverkusen,1.Bundesliga,16-17,12500000,13500000
Stevan Jovetic,Forward,27,Man City,Premier League,Inter,Serie A,16-17,10000000,13500000
Nathan Redmond,Midfielder,22,Norwich,Championship,Southampton,Premier League,16-17,7500000,13500000
Stephan El Shaarawy,Midfielder,23,AC Milan,Serie A,AS Roma,Serie A,16-17,17000000,13000000
Roberto Pereyra,Midfielder,25,Juventus,Serie A,Watford,Premier League,16-17,16000000,13000000
Nicola Sansone,Midfielder,24,Sassuolo,Serie A,Villarreal CF,LaLiga,16-17,12000000,13000000
Jasper Cillessen,Goalkeeper,27,AFC Ajax,Eredivisie,FC Barcelona,LaLiga,16-17,12000000,13000000
Benjamin Mendy,Defender,21,Marseille,Ligue 1,Monaco,Ligue 1,16-17,6500000,13000000
Yannick Gerhardt,Defender,22,1. FC Köln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,16-17,4500000,13000000
Jonathan Kodjia,Forward,26,Bristol City,Championship,Aston Villa,Championship,16-17,2500000,12900000
Fernando,Midfielder,24,Sampdoria,Serie A,Spartak Moscow,Premier Liga,16-17,11000000,12500000
Yunus Malli,Midfielder,24,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,16-17,10000000,12500000
Jannik Vestergaard,Defender,23,Werder Bremen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,16-17,7000000,12500000
Yongpo Wang,Midfielder,30,SD Luneng,Super League,TJ Quanjian,Super League,16-17,400000,12440000
Riechedly Bazoer,Midfielder,20,AFC Ajax,Eredivisie,VfL Wolfsburg,1.Bundesliga,16-17,15000000,12000000
Manuel Lanzini,Midfielder,23,Al-Jazira,UAE Gulf League,West Ham,Premier League,16-17,9000000,12000000
Raphaël Guerreiro,Defender,22,FC Lorient,Rel. Ligue 1,Bor. Dortmund,1.Bundesliga,16-17,9000000,12000000
Sebastian Rode,Midfielder,25,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,16-17,8000000,12000000
Maicon,Defender,27,FC Porto,Liga NOS,São Paulo,Série A,16-17,8000000,12000000
Brown Ideye,Forward,28,Olympiacos,Super League,TJ Teda,Super League,16-17,6000000,12000000
Matt Ritchie,Midfielder,26,Bournemouth,Premier League,Newcastle,Championship,16-17,6000000,12000000
Robert Snodgrass,Midfielder,29,Hull City,Premier League,West Ham,Premier League,16-17,5000000,12000000
Dwight Gayle,Forward,25,Crystal Palace,Premier League,Newcastle,Championship,16-17,3000000,12000000
David Neres,Midfielder,19,São Paulo,Série A,AFC Ajax,Eredivisie,16-17,NA,12000000
Bas Dost,Forward,27,VfL Wolfsburg,1.Bundesliga,Sporting CP,Liga NOS,16-17,7500000,11850000
Jeff Hendrick,Midfielder,24,Derby,Championship,Burnley,Premier League,16-17,1500000,11800000
James Tomkins,Defender,27,West Ham,Premier League,Crystal Palace,Premier League,16-17,6000000,11700000
Jeffrey Bruma,Defender,24,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,16-17,7750000,11500000
Anthony Ujah,Forward,25,Werder Bremen,1.Bundesliga,Liaoning FC,Super League,16-17,5500000,11500000
Jake Livermore,Midfielder,27,Hull City,Premier League,West Brom,Premier League,16-17,4500000,11500000
Min Cui,Defender,27,YB Funde,Super League,SZ FC,League One,16-17,175000,11500000
Edin Dzeko,Forward,30,Man City,Premier League,AS Roma,Serie A,16-17,18000000,11000000
Hakim Ziyech,Midfielder,23,FC Twente,Eredivisie,AFC Ajax,Eredivisie,16-17,11000000,11000000
Kamil Glik,Defender,28,Torino,Serie A,Monaco,Ligue 1,16-17,10000000,11000000
Georges-Kevin N'Koudou,Midfielder,21,Marseille,Ligue 1,Spurs,Premier League,16-17,7000000,11000000
Andrej Kramaric,Forward,25,Leicester,Premier League,TSG Hoffenheim,1.Bundesliga,16-17,5000000,11000000
Mingjian Zhao,Defender,29,SD Luneng,Super League,HB CFFC,Super League,16-17,450000,10950000
Hang Ren,Defender,27,JS Suning,Super League,HB CFFC,Super League,16-17,400000,10750000
Carlos Tévez,Forward,32,Boca Juniors,Primera División,SH Shenhua,Super League,16-17,8500000,10500000
Cristian Ansaldi,Defender,29,Genoa,Serie A,Inter,Serie A,16-17,6000000,10500000
Patrick van Aanholt,Defender,26,Sunderland,Premier League,Crystal Palace,Premier League,16-17,6000000,10500000
Marten de Roon,Midfielder,25,Atalanta,Serie A,Middlesbrough,Premier League,16-17,5000000,10500000
Scott Hogan,Forward,24,Brentford,Championship,Aston Villa,Championship,16-17,500000,10500000
Kyung-won Kwon,Defender,24,Al-Ahli (UAE),UAE Gulf League,TJ Quanjian,Super League,16-17,400000,10500000
Wenzhao Zhang,Midfielder,29,SD Luneng,Super League,GZ Evergrande,Super League,16-17,250000,10400000
Dennis Praet,Midfielder,22,RSC Anderlecht,Jupiler Pro League,Sampdoria,Serie A,16-17,9000000,10000000
Maxime Lestienne,Midfielder,24,Al Arabi,Stars League,Rubin Kazan,Premier Liga,16-17,7500000,10000000
Giovani Lo Celso,Midfielder,20,CA Rosario,Primera División,Paris SG,Ligue 1,16-17,7500000,10000000
Lorenzo Tonelli,Defender,26,FC Empoli,Serie A,SSC Napoli,Serie A,16-17,5500000,10000000
Dayot Upamecano,Defender,18,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,16-17,5000000,10000000
Rubén Rochina,Midfielder,25,Granada CF,LaLiga,Rubin Kazan,Premier Liga,16-17,3000000,10000000
Josip Brekalo,Midfielder,18,Dinamo Zagreb,1.HNL,VfL Wolfsburg,1.Bundesliga,16-17,1000000,10000000
Miguel Borja,Forward,24,Atl. Nacional,Liga Águila II,Palmeiras,Série A,16-17,1750000,9850000
Éder,Forward,29,Sampdoria,Serie A,Inter,Serie A,16-17,12000000,9800000
Mario Lemina,Midfielder,22,Marseille,Ligue 1,Juventus,Serie A,16-17,4000000,9800000
Emre Mor,Midfielder,18,Nordsjaelland,Superligaen,Bor. Dortmund,1.Bundesliga,16-17,1000000,9750000
Chenglin Zhang,Defender,29,BJ Renhe,League One,GZ Evergrande,Super League,16-17,125000,9650000
Ganso,Midfielder,26,São Paulo,Série A,Sevilla FC,LaLiga,16-17,9000000,9500000
Wissam Ben Yedder,Forward,25,Toulouse,Ligue 1,Sevilla FC,LaLiga,16-17,9000000,9500000
Papy Djilobodji,Defender,27,Chelsea,Premier League,Sunderland,Premier League,16-17,4500000,9500000
Ciro Immobile,Forward,26,Sevilla FC,LaLiga,Lazio,Serie A,16-17,10000000,9450000
Matej Vydra,Forward,24,Watford,Premier League,Derby,Championship,16-17,5500000,9400000
Alex Pritchard,Midfielder,23,Spurs,Premier League,Norwich,Championship,16-17,3000000,9400000
James Chester,Defender,27,West Brom,Premier League,Aston Villa,Championship,16-17,6000000,9300000
Walace,Midfielder,21,Grêmio,Série A,Hamburger SV,1.Bundesliga,16-17,9000000,9200000
José Fonte,Defender,33,Southampton,Premier League,West Ham,Premier League,16-17,6000000,9200000
Nicolás López,Forward,22,Udinese Calcio,Serie A,Internacional,Série A,16-17,3000000,9090000
Hongbo Yin,Midfielder,27,HN Jianye,Super League,HB CFFC,Super League,16-17,225000,9050000
Miranda,Defender,31,Atlético Madrid,LaLiga,Inter,Serie A,16-17,16000000,9000000
Adem Ljajic,Midfielder,24,AS Roma,Serie A,Torino,Serie A,16-17,12000000,9000000
Morgan Sanson,Midfielder,22,Montpellier,Ligue 1,Marseille,Ligue 1,16-17,10000000,9000000
Antonio Rüdiger,Defender,23,VfB Stuttgart,2.Bundesliga,AS Roma,Serie A,16-17,10000000,9000000
Diego Perotti,Midfielder,27,Genoa,Serie A,AS Roma,Serie A,16-17,9500000,9000000
Sven Kums,Midfielder,28,KAA Gent,Jupiler Pro League,Watford,Premier League,16-17,7500000,9000000
Gianluca Lapadula,Forward,26,Pescara,Serie A,AC Milan,Serie A,16-17,6500000,9000000
Kamil Grosicki,Midfielder,28,Stade Rennais,Ligue 1,Hull City,Premier League,16-17,6000000,9000000
Daryl Janmaat,Defender,27,Newcastle,Championship,Watford,Premier League,16-17,7500000,8900000
Roger Martínez,Forward,22,Racing Club,Primera División,JS Suning,Super League,16-17,1200000,8900000
Ademola Lookman,Midfielder,19,Charlton,League One,Everton,Premier League,16-17,1500000,8800000
Steven Defour,Midfielder,28,RSC Anderlecht,Jupiler Pro League,Burnley,Premier League,16-17,6000000,8600000
Alexander Isak,Forward,17,AIK Solna,Allsvenskan,Bor. Dortmund,1.Bundesliga,16-17,1750000,8600000
Nani,Midfielder,29,Fenerbahce,Süper Lig,Valencia CF,LaLiga,16-17,14500000,8500000
Idrissa Gueye,Midfielder,26,Aston Villa,Championship,Everton,Premier League,16-17,9000000,8500000
Emanuel Mammana,Defender,20,River Plate,Primera División,Olympique Lyon,Ligue 1,16-17,7000000,8500000
Borek Dockal,Midfielder,28,Sparta Praha,HET Liga,HN Jianye,Super League,16-17,3500000,8500000
Jorge,Defender,20,Flamengo,Série A,Monaco,Ligue 1,16-17,2500000,8500000
Gustavo Gómez,Defender,23,Lanús,Primera División,AC Milan,Serie A,16-17,1750000,8500000
Óscar Romero,Midfielder,24,Racing Club,Primera División,SH Shenhua,Super League,16-17,7000000,8400000
Taiyan Jin,Midfielder,27,Liaoning FC,Super League,BJ Sinobo Guoan,Super League,16-17,225000,8280000
Yang Yu,Defender,27,GZ R&F,Super League,BJ Sinobo Guoan,Super League,16-17,200000,8270000
Adama Traoré,Midfielder,20,Aston Villa,Championship,Middlesbrough,Premier League,16-17,8000000,8250000
Gianluca Caprari,Forward,22,Pescara,Serie A,Inter,Serie A,16-17,3500000,8250000
Nicolae Stanciu,Midfielder,23,FCS Bucharest,Liga 1 - Championship group,RSC Anderlecht,Jupiler Pro League,16-17,3500000,8200000
Yanic Wildschut,Midfielder,25,Wigan,Championship,Norwich,Championship,16-17,750000,8200000
Shilin Sun,Midfielder,28,Liaoning FC,Super League,SH Shenhua,Super League,16-17,200000,8200000
Marc Bartra,Defender,25,FC Barcelona,LaLiga,Bor. Dortmund,1.Bundesliga,16-17,12000000,8000000
Tomás Rincón,Midfielder,28,Genoa,Serie A,Juventus,Serie A,16-17,9000000,8000000
Rémy Cabella,Midfielder,26,Newcastle,Championship,Marseille,Ligue 1,16-17,8000000,8000000
Ivan Cavaleiro,Midfielder,22,Monaco,Ligue 1,Wolves,Championship,16-17,7500000,8000000
Benjamin Stambouli,Defender,26,Paris SG,Ligue 1,FC Schalke 04,1.Bundesliga,16-17,7000000,8000000
Alisson,Goalkeeper,23,Internacional,Série A,AS Roma,Serie A,16-17,7000000,8000000
Andy Delort,Forward,24,SM Caen,Ligue 1,Tigres UANL,Liga MX Clausura,16-17,5500000,8000000
Hernanes,Midfielder,31,Juventus,Serie A,HB CFFC,Super League,16-17,5000000,8000000
Alfred N'Diaye,Midfielder,26,Real Betis,LaLiga,Villarreal CF,LaLiga,16-17,3500000,8000000
Wallace,Defender,21,Braga,Liga NOS,Lazio,Serie A,16-17,3500000,8000000
Hernani,Midfielder,22,Atlético-PR,Série A,Zenit S-Pb,Premier Liga,16-17,1750000,8000000
Dodô,Defender,24,AS Roma,Serie A,Inter,Serie A,16-17,6000000,7800000
José Sosa,Midfielder,31,Besiktas,Süper Lig,AC Milan,Serie A,16-17,8000000,7500000
Max Kruse,Forward,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,16-17,8000000,7500000
Antonio Sanabria,Forward,20,AS Roma,Serie A,Real Betis,LaLiga,16-17,7500000,7500000
Timothée Kolodziejczak,Defender,25,Sevilla FC,LaLiga,Bor. M'gladbach,1.Bundesliga,16-17,7000000,7500000
Miguel Almirón,Midfielder,22,Lanús,Primera División,Atlanta United,MLS,16-17,5500000,7500000
Malick Evouna,Forward,23,Ahly,Premier League,TJ Teda,Super League,16-17,2000000,7250000
Eran Zahavi,Forward,28,M. Tel Aviv,Ligat ha'Al,GZ R&F,Super League,16-17,4000000,7230000
Cristian Espinoza,Midfielder,21,Huracán,Primera División,Villarreal CF,LaLiga,16-17,5000000,7200000
Diogo Jota,Midfielder,19,Paços Ferreira,Liga NOS,Atlético Madrid,LaLiga,16-17,3000000,7200000
Rudy Gestede,Forward,28,Aston Villa,Championship,Middlesbrough,Premier League,16-17,7000000,7100000
Arthur Masuaku,Defender,22,Olympiacos,Super League,West Ham,Premier League,16-17,7000000,7100000
Denis Cheryshev,Midfielder,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,16-17,10000000,7000000
Konstantinos Mitroglou,Forward,28,Fulham,Championship,Benfica,Liga NOS,16-17,9500000,7000000
Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,16-17,8000000,7000000
Odil Akhmedov,Midfielder,29,Krasnodar,Premier Liga,SIPG,Super League,16-17,7000000,7000000
Anwar El Ghazi,Midfielder,21,AFC Ajax,Eredivisie,LOSC Lille,Ligue 1,16-17,6500000,7000000
Jonathas,Forward,27,Real Sociedad,LaLiga,Rubin Kazan,Premier Liga,16-17,6000000,7000000
Martin Hinteregger,Defender,23,RB Salzburg,Bundesliga,FC Augsburg,1.Bundesliga,16-17,6000000,7000000
Giuliano,Midfielder,26,Grêmio,Série A,Zenit S-Pb,Premier Liga,16-17,5000000,7000000
Leo Baptistão,Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,16-17,4000000,7000000
Lewis Cook,Midfielder,19,Leeds,Championship,Bournemouth,Premier League,16-17,4000000,7000000
Ismael Sosa,Midfielder,29,UNAM Pumas,Liga MX Clausura,Tigres UANL,Liga MX Clausura,16-17,3000000,7000000
Harold Preciado,Forward,22,Deportivo Cali,Liga Águila II,SZ FC,League One,16-17,1150000,7000000
Christian Kabasele,Defender,25,KRC Genk,Jupiler Pro League,Watford,Premier League,16-17,6000000,6950000
Patrick Bamford,Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,16-17,5000000,6900000
Haiqing Cao,Defender,23,ZJ Greentown,League One,JS Suning,Super League,16-17,175000,6870000
Hernán Toledo,Midfielder,20,Vélez Sarsfield,Primera División,Maldonado, Uruguay,16-17,200000,6750000
Matz Sels,Goalkeeper,24,KAA Gent,Jupiler Pro League,Newcastle,Championship,16-17,6500000,6600000
Silvio Romero,Forward,27,Chiapas FC,Liga MX Clausura,América,Liga MX Clausura,16-17,3000000,6600000
Grant Hanley,Defender,24,Blackburn,Championship,Newcastle,Championship,16-17,2500000,6600000
Alex Telles,Defender,23,Galatasaray,Süper Lig,FC Porto,Liga NOS,16-17,8500000,6500000
Douglas Santos,Defender,22,Atlético-MG,Série A,Hamburger SV,1.Bundesliga,16-17,6000000,6500000
Matt Phillips,Midfielder,25,QPR,Championship,West Brom,Premier League,16-17,6000000,6500000
Hiroshi Kiyotake,Midfielder,26,Hannover 96,2.Bundesliga,Sevilla FC,LaLiga,16-17,4500000,6500000
Jhon Córdoba,Forward,23,Granada CF,LaLiga,1.FSV Mainz 05,1.Bundesliga,16-17,3500000,6500000
Willy Boly,Defender,25,Braga,Liga NOS,FC Porto,Liga NOS,16-17,2750000,6500000
Simone Verdi,Midfielder,24,AC Milan,Serie A,Bologna,Serie A,16-17,2000000,6500000
Lys Mousset,Forward,20,AC Le Havre,Ligue 2,Bournemouth,Premier League,16-17,400000,6500000
Edimilson Fernandes,Midfielder,20,FC Sion,Super League,West Ham,Premier League,16-17,4500000,6400000
Loris Karius,Goalkeeper,23,1.FSV Mainz 05,1.Bundesliga,Liverpool,Premier League,16-17,7000000,6200000
Neymar,Midfielder,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,17-18,100000000,222000000
Philippe Coutinho,Midfielder,25,Liverpool,Premier League,FC Barcelona,LaLiga,17-18,90000000,125000000
Ousmane Dembélé,Midfielder,20,Bor. Dortmund,1.Bundesliga,FC Barcelona,LaLiga,17-18,33000000,115000000
Romelu Lukaku,Forward,24,Everton,Premier League,Man Utd,Premier League,17-18,50000000,84700000
Virgil van Dijk,Defender,26,Southampton,Premier League,Liverpool,Premier League,17-18,30000000,78800000
Diego Costa,Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,17-18,50000000,66000000
Álvaro Morata,Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,17-18,40000000,66000000
Aymeric Laporte,Defender,23,Athletic Bilbao,LaLiga,Man City,Premier League,17-18,25000000,65000000
Pierre-Emerick Aubameyang,Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,17-18,65000000,63750000
Benjamin Mendy,Defender,23,Monaco,Ligue 1,Man City,Premier League,17-18,13000000,57500000
Alexandre Lacazette,Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,17-18,40000000,53000000
Kyle Walker,Defender,27,Spurs,Premier League,Man City,Premier League,17-18,30000000,52700000
Bernardo Silva,Midfielder,22,Monaco,Ligue 1,Man City,Premier League,17-18,40000000,50000000
Gylfi Sigurdsson,Midfielder,27,Swansea,Premier League,Everton,Premier League,17-18,25000000,49400000
Nemanja Matic,Midfielder,29,Chelsea,Premier League,Man Utd,Premier League,17-18,35000000,44700000
Leonardo Bonucci,Defender,30,Juventus,Serie A,AC Milan,Serie A,17-18,45000000,42000000
Mohamed Salah,Midfielder,25,AS Roma,Serie A,Liverpool,Premier League,17-18,35000000,42000000
Corentin Tolisso,Midfielder,22,Olympique Lyon,Ligue 1,Bayern Munich ,1.Bundesliga,17-18,22000000,41500000
Federico Bernardeschi,Midfielder,23,Fiorentina,Serie A,Juventus,Serie A,17-18,30000000,40000000
Cédric Bakambu,Forward,26,Villarreal CF,LaLiga,BJ Sinobo Guoan,Super League,17-18,25000000,40000000
Ederson,Goalkeeper,23,Benfica,Liga NOS,Man City,Premier League,17-18,22000000,40000000
Tiemoué Bakayoko,Midfielder,22,Monaco,Ligue 1,Chelsea,Premier League,17-18,16000000,40000000
Paulinho,Midfielder,29,GZ Evergrande,Super League,FC Barcelona,LaLiga,17-18,15000000,40000000
Davinson Sánchez,Defender,21,AFC Ajax,Eredivisie,Spurs,Premier League,17-18,12000000,40000000
André Silva,Forward,21,FC Porto,Liga NOS,AC Milan,Serie A,17-18,22000000,38000000
Alex Oxlade-Chamberlain,Midfielder,24,Arsenal,Premier League,Liverpool,Premier League,17-18,22000000,38000000
Danny Drinkwater,Midfielder,27,Leicester,Premier League,Chelsea,Premier League,17-18,9000000,37900000
Vitolo,Midfielder,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,17-18,25000000,36000000
Antonio Rüdiger,Defender,24,AS Roma,Serie A,Chelsea,Premier League,17-18,25000000,35000000
Victor Lindelöf,Defender,22,Benfica,Liga NOS,Man Utd,Premier League,17-18,22000000,35000000
Iñigo Martínez,Defender,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,17-18,25000000,32000000
Nélson Semedo,Defender,23,Benfica,Liga NOS,FC Barcelona,LaLiga,17-18,20000000,30570000
Yannick Carrasco,Midfielder,24,Atlético Madrid,LaLiga,DL Yifang,Super League,17-18,40000000,30000000
Keita Baldé,Midfielder,22,Lazio,Serie A,Monaco,Ligue 1,17-18,25000000,30000000
Danilo,Defender,26,Real Madrid,LaLiga,Man City,Premier League,17-18,16000000,30000000
Michael Keane,Defender,24,Burnley,Premier League,Everton,Premier League,17-18,18000000,28500000
Jordan Pickford,Goalkeeper,23,Sunderland,Championship,Everton,Premier League,17-18,15000000,28500000
Lucas Moura,Midfielder,25,Paris SG,Ligue 1,Spurs,Premier League,17-18,28000000,28400000
Mamadou Sakho,Defender,27,Liverpool,Premier League,Crystal Palace,Premier League,17-18,15000000,28200000
Kelechi Iheanacho,Forward,20,Man City,Premier League,Leicester,Premier League,17-18,15000000,27700000
Davy Klaassen,Midfielder,24,AFC Ajax,Eredivisie,Everton,Premier League,17-18,18000000,27000000
Milan Skriniar,Defender,22,Sampdoria,Serie A,Inter,Serie A,17-18,7000000,27000000
Youri Tielemans,Midfielder,20,RSC Anderlecht,Jupiler Pro League,Monaco,Ligue 1,17-18,22000000,25000000
Andriy Yarmolenko,Midfielder,27,Dynamo Kyiv,Premier Liga,Bor. Dortmund,1.Bundesliga,17-18,18000000,25000000
Serge Aurier,Defender,24,Paris SG,Ligue 1,Spurs,Premier League,17-18,15000000,25000000
Davide Zappacosta,Defender,25,Torino,Serie A,Chelsea,Premier League,17-18,8500000,25000000
Adrien Silva,Midfielder,28,Sporting CP,Liga NOS,Leicester,Premier League,17-18,25000000,24500000
Theo Hernández,Defender,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,17-18,15000000,24000000
Matías Vecino,Midfielder,25,Fiorentina,Serie A,Inter,Serie A,17-18,13000000,24000000
Lucas Alario,Forward,24,River Plate,Primera División,Bay. Leverkusen,1.Bundesliga,17-18,12000000,24000000
Andrea Conti,Defender,23,Atalanta,Serie A,AC Milan,Serie A,17-18,10000000,24000000
Leandro Paredes,Midfielder,23,AS Roma,Serie A,Zenit S-Pb,Premier Liga,17-18,13000000,23000000
André Ayew,Midfielder,28,West Ham,Premier League,Swansea,Premier League,17-18,18000000,22800000
Nathan Aké,Defender,22,Chelsea,Premier League,Bournemouth,Premier League,17-18,8000000,22800000
Theo Walcott,Midfielder,28,Arsenal,Premier League,Everton,Premier League,17-18,20000000,22500000
Cenk Tosun,Forward,26,Besiktas,Süper Lig,Everton,Premier League,17-18,10500000,22500000
Marko Arnautovic,Midfielder,28,Stoke City,Premier League,West Ham,Premier League,17-18,15000000,22300000
Hakan Calhanoglu,Midfielder,23,Bay. Leverkusen,1.Bundesliga,AC Milan,Serie A,17-18,20000000,22000000
Guido Carrillo,Forward,26,Monaco,Ligue 1,Southampton,Premier League,17-18,6000000,22000000
Luis Muriel,Forward,26,Sampdoria,Serie A,Sevilla FC,LaLiga,17-18,17000000,21500000
Manuel Akanji,Defender,22,FC Basel,Super League,Bor. Dortmund,1.Bundesliga,17-18,5000000,21500000
Kingsley Coman,Midfielder,21,Juventus,Serie A,Bayern Munich ,1.Bundesliga,17-18,20000000,21000000
Pietro Pellegri,Forward,16,Genoa,Serie A,Monaco,Ligue 1,17-18,8000000,21000000
Andre Gray,Forward,26,Burnley,Premier League,Watford,Premier League,17-18,10000000,20400000
Blaise Matuidi,Midfielder,30,Paris SG,Ligue 1,Juventus,Serie A,17-18,30000000,20000000
Juan Cuadrado,Midfielder,29,Chelsea,Premier League,Juventus,Serie A,17-18,25000000,20000000
Niklas Süle,Defender,21,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,17-18,25000000,20000000
Roberto Gagliardini,Midfielder,23,Atalanta,Serie A,Inter,Serie A,17-18,20000000,20000000
Kevin Kampl,Midfielder,26,Bay. Leverkusen,1.Bundesliga,RB Leipzig,1.Bundesliga,17-18,15000000,20000000
Maximilian Philipp,Midfielder,23,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17-18,15000000,20000000
Óliver Torres,Midfielder,22,Atlético Madrid,LaLiga,FC Porto,Liga NOS,17-18,14000000,20000000
Emerson,Defender,23,AS Roma,Serie A,Chelsea,Premier League,17-18,14000000,20000000
Nikola Maksimovic,Defender,25,Torino,Serie A,SSC Napoli,Serie A,17-18,10000000,20000000
Dalbert,Defender,23,OGC Nice,Ligue 1,Inter,Serie A,17-18,5000000,20000000
Kevin Wimmer,Defender,24,Spurs,Premier League,Stoke City,Premier League,17-18,7000000,19400000
Nabil Bentaleb,Midfielder,22,Spurs,Premier League,FC Schalke 04,1.Bundesliga,17-18,18000000,19000000
Mateo Musacchio,Defender,26,Villarreal CF,LaLiga,AC Milan,Serie A,17-18,18000000,18000000
Rúben Neves,Midfielder,20,FC Porto,Liga NOS,Wolves,Championship,17-18,10000000,17900000
Chicharito,Forward,29,Bay. Leverkusen,1.Bundesliga,West Ham,Premier League,17-18,18000000,17800000
Panagiotis Retsos,Defender,19,Olympiacos,Super League,Bay. Leverkusen,1.Bundesliga,17-18,5000000,17500000
Britt Assombalonga,Forward,24,Nottm Forest,Championship,Middlesbrough,Championship,17-18,5000000,17100000
Lucas Biglia,Midfielder,31,Lazio,Serie A,AC Milan,Serie A,17-18,20000000,17000000
Olivier Giroud,Forward,31,Arsenal,Premier League,Chelsea,Premier League,17-18,20000000,17000000
Medhi Benatia,Defender,30,Bayern Munich ,1.Bundesliga,Juventus,Serie A,17-18,15000000,17000000
Matthias Ginter,Defender,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,17-18,15000000,17000000
John Anthony Brooks,Defender,24,Hertha BSC,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,17-18,14000000,17000000
Jürgen Locadia,Forward,24,PSV Eindhoven,Eredivisie,Brighton,Premier League,17-18,8500000,17000000
Mario Lemina,Midfielder,23,Juventus,Serie A,Southampton,Premier League,17-18,7500000,17000000
Jhon Córdoba,Forward,24,1.FSV Mainz 05,1.Bundesliga,1. FC Köln,1.Bundesliga,17-18,7000000,17000000
Ismaïla Sarr,Midfielder,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,17-18,2500000,17000000
